scheme_name,scheme_link,details,benefits,eligibility,application_process,documents_required,error
Mahila Samriddhi Yojana (GTKVN),https://www.myscheme.gov.in/schemes/msygtkdc,"The ""Mahila Samriddhi Yojana"" is implemented by the Gujarat Thakor and Koli Vikas Nigam (GTKVN) under the Social Justice and Empowerment Department, Government of Gujarat. The scheme aims to empower women entrepreneurs from the Thakor and Koli communities by providing access to micro-loans for self-employment. Under this scheme, financial assistance in the form of low-interest loans is provided to eligible women beneficiaries to help them set up small businesses or trades based on their skills.","Maximum Loan Amount: Up to ₹60,000/-.
Interest Rate: 4% per annum.
Loan Coverage: Up to 100% of the loan will be given for the proposed business/trade.
Repayment: The loan amount will have to be repaid in 48 equal monthly installments (4 years) including interest.","The applicant should be a resident of Gujarat.
The applicant should be a woman from Thakor or Koli caste. 
The applicant should be between 21 to 50 years of age at the time of application.
The applicant’s annual family income should not exceed ₹3,00,000/-. 
The applicant should have relevant technical skills and experience in the proposed trade/business.
The applicant will have to provide suitable collateral to get the loan.
Note: At least 50% of the total loan amount will be allocated for families with annual income up to ₹1,50,000/-.","Online
Step 1: Visit the official website of the Gujarat Thakor and Koli Vikas Nigam.
Step 2: On the top menu bar, click on ""Apply Now"".
Step 3: Click on the loan scheme name. 
Step 4: Select the loan category and fill in the loan amount.
Step 5: Fill out the Application Form, enter the following details:
Personal Information: Name, gender, date of birth, caste, etc.
Address Information: Permanent and correspondence address
Income Details: Monthly family income and source
Loan Requirement: Amount needed, proposed use (e.g., business, self-employment)
Bank Account Details: For loan disbursement
Step 6: Upload scanned copies of the Caste certificate, Income certificate, Aadhaar card, Passport-size photo, Bank passbook (first page), and Residence proof.
Step 7: Double-check all details. Click on “Preview” to verify. If all details are correct, click “Submit”.
Step 8: Applicant will receive an Application ID/Reference Number. Save or print the acknowledgement for future tracking.","Aadhaar Card
Ration Card
Voter ID
Passport Size Photos
Business Address Proof	
Birth Certificate
Caste Certificate
Income certificate
Bank Passbook
Any other documents as required",
Foreign Study Loan,https://www.myscheme.gov.in/schemes/fsl,"The scheme ""Foreign Study Loan"" implemented by the Gujarat Unreserved Educational and Economical Development Corporation (GUEEDC), Social Justice and Empowerment Department, Government of Gujarat, provides financial assistance to students from non-reserved categories pursuing higher studies abroad. The scheme provides overseas study loans of up to ₹15,00,000/- for specific courses, including Bachelor of Medicine, Bachelor of Surgery, post-graduation courses (valid even if obtained after diploma), post-graduation diploma, and equivalent courses after Class 12th. To be eligible, the applicant must have scored 60% or more in Class 12 and belong to a family with an annual income of ₹6,00,000/- or less. The loan carries simple interest at the rate of 4% per annum with repayment terms varying based on the loan amount.","Loan Amount: Up to ₹15,00,000/- for overseas study.
Interest Rate: Simple interest at 4% per annum.
Repayment Grace Period: 1 year after completion of study before repayment begins.
Flexible Repayment: Borrower can repay the loan before the stipulated time limit.
﻿

Repayment Schedule
For loans up to ₹5,00,000/-: Equal monthly installments over 5 years.
For loans above ₹5,00,000/-: Equal monthly installments over 6 years.","The applicant must belong to the non-reserved category.
The applicant must be pursuing higher studies abroad.
The applicant must be enrolled in Bachelor of Medicine, Bachelor of Surgery, post-graduation courses (valid even if obtained after diploma), post-graduation diploma, or equivalent courses after Class 12th.
The applicant must have scored 60% or more in Class 12th.
The applicant must belong to a family with an annual income of ₹6,00,000/- or less.","Online
Step 1: Register on the Official Portal
Open the official website. Navigate to the “How to Apply” section and select “Foreign Study Loan.”
You will be redirected to the e-SamajKalyan Portal. On the home page, under the tab ‘Citizen Login’, click on New User ‘Please Register Here’. Enter your Full Name as per Aadhaar Card, Gender, Date of Birth, Aadhaar Card Number, Email ID, Caste etc. and then click on ‘Register’.
Log in using your credentials once registration is complete.
Step 2: Access and Fill Out the Application Form
After logging in, locate the application Form. Enter personal, academic, and family information in the respective modules: Name, gender, category, address, educational background, institution details, passport number, family income, occupation of guardians, and bank details (to be used for loan disbursement).
Use dropdown selections in the ""Patrata Column"" (પાત્રતાની કોલમ) to correctly indicate your eligibility parameters. It is mandatory to select from the dropdown so that your application is processed under the right criteria.
Step 3: Prepare and Upload Required Documents
Scan and upload clear, legible documents in the upload section. 
Ensure each file is within the portal’s size and format limitations (usually PDF, JPEG or PNG) and named properly to avoid confusion during review.
Step 4: Review and Final Submission
Carefully review each module. Use the preview option to examine the application before final submission.
Save a local PDF copy of the completed form for your records. Click “Final Submit”.
Step 5: Application Verification by GUEEDC
Upon submission, your application and uploaded documents will be reviewed by GUEEDC officials.
You may be contacted via phone or email if: Any clarification is required, Additional documents are needed, or Corrections must be made.
Maintain active communication channels and respond promptly to any such requests.
Loan Sanction and Disbursement
If the application is accepted, a formal sanction letter will be issued.
You may be asked to sign an agreement accepting the terms and repayment conditions of the loan.
The sanctioned loan amount will be disbursed directly into your verified bank account.
If any post-sanction verification or usage confirmation is required, comply as per instructions provided by GUEEDC.","Class 12th Mark Sheet (showing 60% or more marks)
Family Income Certificate (showing annual income of ₹6,00,000/- or less)
Property Documents (for loans up to ₹7,50,000/-: property worth one and a half times the loan amount)
Immovable Property Documents (for loans above ₹7,50,000/-: for mortgage in favor of the Corporation)
Five Post-Dated Cheques (signed in favor of the Corporation)
Course Admission Documents (for overseas higher studies)
Identity Proof
Address Proof",
Mahila Samriddhi Yojana (for women only) GNTDNT,https://www.myscheme.gov.in/schemes/msygntdnt,Not found,Not found,Not found,Not found,Not found,
Scholarship to SC students studying in selected schools under Talentpool Scheme,https://www.myscheme.gov.in/schemes/sctalentpool,"The scheme ""Scholarship to SC students studying in selected schools under Talentpool Scheme"" by the Social Justice and Empowerment Department, Government of Gujarat, aims to provide the best education to meritorious Scheduled Caste students in high-quality residential schools to help them build their careers and improve their living standards. Through this scheme, financial assistance per student is provided to the meritorious Scheduled Caste students. The scheme targeted 330 students across 33 districts, with 5 meritorious students from Std-5 and 5 from Std-10 from each district. The scheme is implemented by the Office of the concerned District Deputy Director (Ajak).
﻿

The following 8 schools have been empanelled out of 15 schools:
Late P.U. Chavda Edu. Trust operated Nalanda Vidyalaya Educational Complex, Bhorigada, Amreli.
Futurelink School, operated by Gujarat Child Development Board, Vill. Kharedivav, Tal. Jambughoda, Dist. Panchmahal.
Shri J.R. Desai School, operated by Gujarat Bal Vikas Mandal, Mora, Morwa, Dist. Panchmahal.
Shri Neelkanth Education and Social Welfare Trust, Bayad, Aravalli.
Shri Brahmanand Vidya Mandir, Chaparda, operated by Brahmacharishree Bhagwati Nandji Education Trust
Satkeval Vidyamandir, Sarsa, run by Gyan Sampradaya Kelavani Trust
Chanakya Education and Charitable Trust (Takshashila Vidyalaya), Halvad, Morbi.
Nalanda Vidyalaya, run by Shri Swami Vivekananda Education and Welfare Trust, Puna Village, Ta. Choryasi, Surat.","Financial assistance of up to ₹40,000/- per student is provided.","The applicant should belong to the Scheduled Caste.
 The applicant should from Standard 5 and Standard 10.
The applicant should be studying in a school selected under the Talent Pool Scheme.
The applicant's parents' income limit should not exceed ₹6,00,000/-. (whose income is between ₹2,00,000/- and ₹3,00,000/-, are eligible for 50% assistance).
The applicant must be a student.","Offline
Visit the nearest Deputy Director, Scheduled Caste Welfare Office of the district. Collect the application form from the office and fill it out correctly. Submit the completed application form along with all the required attachments to the Deputy Director, Scheduled Caste Welfare Office of the district in which the school has been selected.","Aadhar Card 
Bank Pass Book/Cancelled Cheque 
Caste Certificate 
Income Certificate",
Retired Sportsperson Pension Scheme,https://www.myscheme.gov.in/schemes/rsps,"The scheme ""Retired Sportsperson Pension Scheme"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat aims to recognize and support the contributions of state-level sportspersons who have won medals in national-level sports events by offering them a financial pension after the age of 50 years. The scheme ensures dignified post-retirement sustenance for these individuals, thereby encouraging younger generations to pursue sports professionally. The scheme is implemented by the Sports Authority of Gujarat.","Financial Assistance: A Pension of ₹3,000/- per month.","The applicant should be a resident of Gujarat.
The applicant should be a male.
The applicant should be a sportsperson.
The applicant should be aged above 50 years at the time of application.
The applicant should have won medals in national-level sports competitions representing the state.","Offline
Step 1: The applicant should download the prescribed format of the application form.
Step 2: In the application form, provide all the mandatory details, and attach copies of all the mandatory documents (self-attested, if required).
Step 3: Submit the duly filled and signed application form along with the supporting documents to the Commissioner of Youth Services and Cultural Activities Office.
Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted.
Commissioner, Youth Services and Cultural Activities Office, 
Block No. 11, 3rd Floor, Dr. Jivraj Mehta Bhavan,
Gandhinagar, 382010.","Affidavit.
Domicile Certificate.",
Term Loan Scheme (GMFDC),https://www.myscheme.gov.in/schemes/tlsgmfdc,"The scheme ""Term Loan Scheme"" is implemented by Gujarat Minorities Finance and Development Corporation (GMFDC) under the Social Justice and Empowerment Department, Government of Gujarat. The scheme aims to promote self-employment among individuals from the minority communities by providing financial assistance for agriculture and allied activities, small-scale businesses, craftsmanship, transport sector, traditional occupations, and service-based businesses/trades. Under this scheme, beneficiaries can avail loans at concessional interest rates to purchase equipment, raw materials, or working capital.","Financial Assistance for Business: Loans ranging from ₹1,00,000/- to ₹20,00,000/- are provided businesses/trades in various sectors listed below:
Agriculture and allied businesses, such as animal husbandry, fisheries, etc.
Technical & Skilled self-employment businesses.
Service-oriented businesses such as provision stores, ready-made garment shops, cyber cafés, cold drink parlors, auto repairing, beauty parlors, etc.
Handicraft businesses.
Transport sector.
Interest Rates:
For annual income up to ₹1,20,000/- (rural) and ₹1,20,000/- (urban), the interest rate is 6% per annum.
For families with annual income above ₹1,20,000/- and up to ₹8,00,000/-, the interest rate is 8% for male beneficiaries and 6% for female beneficiaries.
3. Repayment: The loan amount has to be repaid to the corporation in 60 equal installments over five years, including interest.","The applicant should be a resident of Gujarat.
The applicant should belong to a minority religious community (Muslim, Christian, Sikh, Jain, Buddhist, Parsi, or Jewish) or a linguistic community (Sindhi, Marathi, or Urdu) in the state of Gujarat.
The applicant, or any member of their family, should not have obtained a loan from Gujarat Minority Finance and Development Corporation Limited, Gujarat Backwards Class Development Corporation, Gandhinagar, including any other corporation/institution or bank of the Central or State Government.
The annual income of the applicant's family should be:
₹98,000/- for rural areas.
₹1,20,000/- for urban areas.
However, families with income exceeding ₹1,20,000/- and up to ₹8,00,000/- are also eligible, albeit with different interest rates.
The applicant's age should be between 21 and 45 years.","Online
Offline
Registration
Step 1: Visit the Gujarat Minority Finance and Development Corporation official website.
Step 2: Register as a new user with name, mobile number, email, Aadhaar number, and create a password.
Step 3: In the form, provide all the mandatory fields, fill in the captcha code, and click ""Submit"" to complete the registration process. A pop-up will appear acknowledging successful registration and displaying your User ID for Login.
Application
Step 1: Visit the Gujarat Minority Finance and Development Corporation official website.
Step 2: Log in using your registered credentials. Select the Term Loan Scheme from the available schemes.
Step 3: Fill in personal details, income information, business details, and bank account details.
Step 4: Upload required documents: Identity Proof, Address Proof, Income Certificate, Minority Certificate, Educational Qualification Certificate, Experience Certificate (if any), Business Proposal, and Bank Passbook.
Step 5: You will be taken to the online application form of the scheme. In the form, provide all the mandatory fields and upload all the mandatory documents in the specified format and size.
Step 6: Carefully review all the information provided and the documents uploaded. Make corrections, if any.
Step 7: Click ""Submit"" to submit your application. You'll receive a confirmation message. Note down your Application Number for future reference. You can also take a printout of the submitted application form.
Track Application Status
Step 1: Visit the Gujarat Minority Finance and Development Corporation official website.
Step 2: Navigate to the bottom of the home page, and click ""Your Application Status"".
Step 3: On the next page, provide your Application Number, Date of Birth, and click ""View Status"". The current status of your application will be displayed.
Contact: 
For any assistance, contact 079-23253843, 23254583, 23253757 or email md-gmfdcl@gujarat.gov.in.","Proof of Identity (Aadhaar Card, Voter ID, PAN Card, etc.)
Proof of Address (Utility Bill, Aadhaar Card, etc.)
Proof of Age (Birth Certificate, School Leaving Certificate, etc.)
Minority Community Certificate
Income Certificate
Educational Qualification Certificates (relevant to the business) 
Experience Certificate (relevant to the business) 
Bank Passbook/Statement
Business Project Report
Collateral/Guarantor Documents (as per loan amount)",
Educational Loan Scheme (GMFDC),https://www.myscheme.gov.in/schemes/elgmfdcl,"The ""Educational Loan Scheme"" is implemented by the Gujarat Minorities Finance and Development Corporation (GMFDC) under the Social Justice and Empowerment Department, Government of Gujarat. The scheme aims to provide financial assistance in the form of loans for all types of education, including various technical and non-technical courses, that help beneficiaries gain employment or enhance their job prospects. Under this scheme, low-interest loans are offered to eligible students from minority communities to pursue graduate and postgraduate courses in technical, vocational, professional, and medical fields, either in India or abroad.","For studies within India, a maximum loan of ₹1,50,000/- per year and up to ₹7,50,000/- for a five-year course can be obtained.
For medical courses within India, ₹2,50,000/- for 1 year and ₹12,50,000/- for 5 years can be obtained.
For abroad studies, a maximum loan of ₹3,00,000/- for 1 year and ₹15,00,000/- for 5 years is provided.
The annual interest rate on this loan is 3%.
Note 1: If the applicant’s annual family income is up to ₹98,000 in rural areas or ₹1,20,000 in urban areas, the loan is provided at a concessional interest rate of 3% per annum.
Note 2: According to the National Corporation's Credit Line-2, for families with an income of ₹1,20,000/- up to ₹8,00,000, the interest rate is 5% for female students and 8% for male students.
Note 3: The loan and interest amount is to be repaid in 60 equal monthly installments within five years from the date of completion of studies or from the date of getting a job, whichever is earlier. 
Note 4: Penalty interest at the rate of 2% is payable on delayed payments.","The applicant should be a resident of Gujarat.
The applicant should belong to a minority religious community (Muslim, Christian, Sikh, Jain, Buddhist, Parsi, and Jewish) or a linguistic community (Sindhi, Marathi, Urdu) of Gujarat State.
The applicant or any family member should not have received a loan from Gujarat Minorities Finance and Development Corporation Limited, Gujarat Backward Class Development Corporation, Gandhinagar, or any other central/state government corporation/institution or bank.
The annual income of the applicant's family should be:
₹98,000/- for rural areas.
₹1,20,000/- for urban areas.
However, families with income exceeding ₹1,20,000/- and up to ₹8,00,000/- are also eligible, albeit with different interest rates
  5. The applicant's age should be between 16 and 32 years.","Online
Registration
Step 1: Visit the Gujarat Minority Finance and Development Corporation official website.
Step 2: Register as a new user with name, mobile number, email, Aadhaar number, and create a password.
Step 3: In the form, provide all the mandatory fields, fill in the captcha code, and click ""Submit"" to complete the registration process. A pop-up will appear acknowledging successful registration and displaying your User ID for Login.
Application
Step 1: Visit the Gujarat Minority Finance and Development Corporation official website.
Step 2: Log in using your registered credentials. Select the Education Loan Scheme from the available schemes.
Step 3: Fill in personal details, income information, business details, and bank account details.
Step 4: Upload required documents: Identity Proof, Address Proof, Income Certificate, Minority Certificate, Educational Qualification Certificate, and Bank Passbook.
Step 5: You will be taken to the online application form of the scheme. In the form, provide all the mandatory fields and upload all the mandatory documents in the specified format and size.
Step 6: Carefully review all the information provided and the documents uploaded. Make corrections, if any.
Step 7: Click ""Submit"" to submit your application. You'll receive a confirmation message. Note down your Application Number for future reference. You can also take a printout of the submitted application form.
Track Application Status
Step 1: Visit the Gujarat Minority Finance and Development Corporation official website.
Step 2: Navigate to the bottom of the home page, and click ""Your Application Status"".
Step 3: On the next page, provide your Application Number, Date of Birth, and click ""View Status"". The current status of your application will be displayed.
Contact: 
For any assistance, contact 079-23253843, 23254583, 23253757 or email md-gmfdcl@gujarat.gov.in.","Identity Proof 
Address Proof 
Income Certificate 
Minority Certificate 
Educational Qualification Certificate 
Bank Passbook
Any other documents as required",
Scheme for Providing Incentives to Coaches of Athletes who have Won Competitions at the National and International Levels,https://www.myscheme.gov.in/schemes/tspicacnil,"The “Scheme for Providing Incentives to Coaches of Athletes who have Won Competitions at the National and International Levels” scheme was launched by the Sports, Youth and Cultural Activities Department, Government of Gujarat. The scheme aims to honour coaches who have significantly contributed to the success of athletes in the field of sports. Under this scheme, financial incentives are provided to coaches of athletes who have won competitions at national and international levels.","Under this scheme, financial incentives of up to 10% of the prize money awarded are provided to coaches of winning players in national and international level competitions, subject to a maximum limit of ₹10 lakh.","The applicant must be domiciled in the State of Gujarat.
The applicant must be a coach of an athlete/player who has won a national or international level competition.
The scheme is applicable to coaches of players who have received cash sports talent awards in the year 2015-16 and onwards.
The coach should be employed in the Sports Department of the State Government on a permanent or contract basis.
The coach must have trained at least five players.
The coach must provide supporting evidence from the players who have undergone training.
Online, postal, or telephonic coaching will not be considered.","Offline
Step 1: The interested applicant should visit office of the Sports, Youth and Cultural Activities Department and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications.
Step 2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attested, if required).
Step 3: Submit the duly filled and signed application form, along with the required documents, to the office of the Sports, Youth, and Cultural Activities Department.","Aadhaar Card
Affidavit
Bank Pass Book/Cancelled Cheque
Domicile Certificate
Supporting evidence who have undergone training
Passport Size Photos",
Pradhan Mantri Matsya Sampada Yojana (PMMSY-Inland): Construction of New Grow-out Pond - Gujarat,https://www.myscheme.gov.in/schemes/pmmsycngpguj,"The scheme ""Pradhan Mantri Matsya Sampada Yojana (PMMSY-Inland)"", with the component of Construction of New Grow-out Pond, introduced by the Agriculture, Farmers Welfare and Co-operation Department, Government of Gujarat. Through this scheme, assistance is provided for the construction of new grow-out ponds to individuals and organisations involved in inland fisheries. The scheme is implemented by the Commissioner of Fisheries of the State Governments, with 60% contribution from the Government of India and 40% from the Government of Gujarat.
﻿

Objective: 
Increase fish production by rearing fish in reservoirs and provide employment to people involved in inland fisheries activities.
Assistance is provided for accelerating inland fish farming activities in freshwater bodies, increasing inland fish production and boosting inland fisheries. 
Except for water bodies or ponds, in less land, less water, Biofloc with source as well, Recirculating Aquaculture System (RAS). By creating fish tanks with this method, more fish production can be obtained in less land and less water. If more beneficiaries get the benefit of the subsidy of this scheme, more fish production can be achieved with less water sources and less land.
Inland fish production capacity can be increased by the establishment of freshwater hatcheries.","Financial assistance is provided for the Construction of the New Grow-out Pond (PMMSY). The unit cost of the project is ₹7,00,000/- per hectare.
General Category: 40% of the unit cost (₹2,80,000/- per hectare).
Women/Scheduled Caste (SC)/Scheduled Tribe (ST) Category: 60% of the unit cost (₹4,20,000/- per hectare).
﻿

Conditions Associated with Benefits: 60% of the contribution is from the Government of India and 40% from the State Government.
Frequency of Disbursement: Once in a lifetime.","The applicant must be an individual, society, self-help group, association, reservoir lease holder, or private entity involved in inland fisheries activities.
The applicant must be above 18 years of age.
The applicant must have their own bank account.
The applicant must have their own private land or a minimum 10-year lease agreement for land to avail construction-related assistance on land. In case of co-owners, the consent form of co-owners must be submitted.
The applicant must have a Voter ID/Ration Card/Aadhar Card/Passport as proof of identity.
﻿

Preference/Priority/Reservation/Relaxation:
All categories (General, Women, Scheduled Caste, and Scheduled Tribe) will receive benefits under the Inland Schemes.
Scheduled Caste and Scheduled Tribe beneficiaries are required to have a Scheduled Caste/Scheduled Tribe certificate to avail benefits under the inland components.","Online
Registration Process:
Step 1: The applicant may visit and apply online at the I-Khedut Portal.
Step 2: Click on 'Login' from the top right-hand side, then click on ""Beneficiary Registration"" and select any one from the 'Farmer' or 'Institutional' or 'Except For the Farmer' as the Beneficiary Type.
Step 3: Enter the 'Company Name' and Address if you have selected 'Institutional' or 'Except For the Farmer' as the Beneficiary Type. And for all select the District, Taluka, and Village, choose 'what type of account holder you are?', enter your Account Number and Name, solve the Captcha, and click 'Save and Next'.
Step 4: Enter your Mobile Number and E-mail address, click 'Send OTP', enter the received OTP, create and confirm a Password, solve the Captcha, and click 'Submit'.
﻿

Login Process: 
Step 1: The applicant may visit and apply online at the I-Khedut Portal.
Step 2: Click on 'Login' from the top right-hand side of the homepage. On the home page, click on ‘Schemes’ and then click on ‘Agricultural Schemes’.
Step 3: Now select the scheme, click on the ‘Apply’ button, and an application page will open.
Step 4: Click on the ""Apply New"" button and submit a new application.
Step 5: Click on the ""Update Application"" button to add corrections to the application.
Step 6: Once the application is done, confirm it.
Step 7: Take a printout of the confirmed application.
﻿

Contact Us: Click here.","Voter ID/Ration Card/Aadhaar Card/Passport (as proof of identity).
Bank Account Details.
Land Ownership Documents (if applicant has own private land).
Lease Agreement (minimum 10 years, if applicable).
Consent Form of Co-owners (in case of co-owned land).
Scheduled Caste/Scheduled Tribe Certificate (for Scheduled Caste and Scheduled Tribe beneficiaries).",
Handicraft Rebate Scheme,https://www.myscheme.gov.in/schemes/hrs-g,"The ""Handicraft Rebate Scheme"" launched by the Commissioner of Cottage and Rural Industries, Government of Gujarat, aims to support artisans and cooperatives by providing financial rebates on the sale of handicrafts. The scheme offers a 5% permanent rebate on retail sales and an additional 10% special rebate during festivals (totaling 15–20% for women-led cooperatives). Implemented via the e-Kutir portal, it ensures transparency through an e-voucher system for toolkit distribution and rebate disbursement. The scheme targets industrial cooperatives, apex societies, and women-led groups, promoting market competitiveness and artisan welfare.","Permanent Rebate:
5% on retail sales of handicraft.
15% for women-led cooperatives.
Special Festival Rebate:
Additional 10% (total 15% for general cooperatives, 20% for women-led groups) for 120 days during festivals.
Targeted Support:
Enhanced rebates for Scheduled Castes/Tribes and BPL artisans.","The applicant must be a registered cooperative society, apex institution, or women-led group.
The applicant must produce handicrafts.
The applicant must obtain prior rebate certification from the Commissionerate.","Online
Steps for New Registration
Step 1: Visit the eKutir portal. In the right pane of the landing page, click ""For New Individual Registration, click Here"".
Step 2: On the registration page, fill in all mandatory fields (marked with an asterisk): Full Name (in English), Aadhaar Card Number, Gender, Date of Birth, Mobile Number, E-mail, Password (confirm the password by typing it again). Fill in the Captcha Code, and click ""Register"".
Step 3: A confirmation pop-up will display the entered name, mobile number, and other details. If all the details are correct, click ""Confirm"" to proceed. If any information is incorrect, click ""Cancel"", make the necessary corrections, and then click ""Register"" again.
Step 4: Upon successful registration, the User ID and Password will be sent to your registered mobile number via SMS. If an email address has been provided, the credentials will also be sent via email.
﻿

Steps for Login Procedure and User Profile Update
Step 1: Visit the eKutir portal. In the right pane of the landing page (in the ""Login to Portal"" section), provide your User ID, Password, and the Captcha Code. Then click ""Login"".
Step 2: Upon first login, the user must complete the ""User Profile"" by providing personal and organisational details. All fields marked with an asterisk are mandatory. Some fields will already be pre-filled based on the information provided during registration.
*Most of these details can later be updated from the “View Profile” section, except for the fields initially filled during registration.
﻿

Steps for Scheme Application
Step 1: After logging in and completing the profile, the system displays schemes relevant to the user on the homepage. Click on the name of the scheme that you intend to apply for. You will be redirected to the online application form of the scheme. The application form is divided into multiple tabs. 
Step 2: In the form, fill in all the mandatory fields and upload all the mandatory documents in the specified format and size. For each uploaded document, the corresponding document number must be entered wherever required. Click the “Save & Next” button to proceed to the subsequent tabs. 
Step 3: Carefully review all the information provided and the documents uploaded. Make any necessary corrections. Acknowledge and agree to the terms and conditions, declaration, and privacy policy (if any) by ticking the designated checkbox.
Step 4: Clicking “Save & Next” in the last tab of the application form generates an application number, which is displayed on the screen. The applicant must record this number for future reference. If the applicant wishes to print the application, they may click the “Print Application” button.
*If you do not wish to continue with the application at that point, you may click ""Cancel"".
﻿

Application Printing and Modification
If the user wishes to print the application, they may click “Print Application.” 
If the application has been returned for revision, a “Modify” button will appear. The user can then edit the application and resubmit it.
﻿

Helpdesk/Grievance Redressal
Call 9909926280 / 9909926180.
Connect with the District Industries Centre (DIC) of your district.
﻿

Check Application Status
Visit the Application Status page Provide the Application Number of the scheme, and your Date of Birth. Then click ""View Status"".","Registration Proof of Cooperative/Institution.
Sales Invoices With Product Details.
Artisan Identity Proofs (for SC/ST/BPL Claims).
Women-led Certification (if Applicable).
Bank Details for Rebate Disbursement.",
Pre-Matric Scholarship for the Students of Socially and Educationally Backward Class,https://www.myscheme.gov.in/schemes/pmsssebc,"The scheme ""Pre-Matric Scholarship for the Students of Socially and Educationally Backward Class"" by the Social Justice and Empowerment Department, Government of Gujarat, aims to provide financial assistance to promote education among socially and educationally backwards students.
Through this scheme, scholarships per annum are provided to boys and girls studying in Standards 1 to 10 in government and aided schools. The scheme is implemented by the Director, Developing Caste Welfare, Gandhinagar, Gujarat.","For Boys (Std. 1 to 8): ₹750/- scholarship.
For Boys (Std. 9 to 10): ₹1000/- scholarship.
For Girls (Std. 1 to 5): ₹500/- scholarship.
For Girls (Std. 6 to 10): ₹1000/- scholarship.","The applicant should belong to the Socially and Educationally Backward Class (SEBC).
The applicant should be studying in Standard 1 to 10.
The applicant should be enrolled in a Government or Aided Primary/Secondary School.
For applicants studying in Standard 1 to 8, there is no family income limit.
For applicants studying in Standard 9 to 10, the annual family income of the applicant’s family should not exceed ₹6,00,000/-.","Online
How to Register:
Step 1: Visit the Digital Gujarat portal. 
Step 2: The user should click on the ""Click to register"" option. Fill in all details and click on ""Save"".
How to Log In:
Step 1: Visit the Digital Gujarat portal. 
Step 2: The user should click on the ""Login"" option. 
Step 3: Enter all details and click on ""Login"".
How to Apply for a New Service:
Step 1: After logging in, select the relevant department.
Step 2: Choose the specific service to apply for within that department.
Step 3: Fill out all required details in the application form.
Step 4: Upload, attach, or browse necessary documents. Alternatively, import documents directly from DigiLocker.
Step 5: Carefully review all entered information.
Step 6: Submit the application.
Step 7: Once the application is completed, proceed to payment to download the certificate.
Step 8: Upon successful payment, the certificate will be available for download.
Digital Gujarat (Help Desk):
Contact No: 18002335500","Caste Certificate
Income Certificate
School Bonafide Certificate
Last Year’s Marksheet
Bank Passbook Copy
Aadhar Card
Passport Size Photograph",
